id,name,age,points,hand,backhand,height,weight
o0a2,Gauthier Onclin,24,267,R,2,180,77
z09z,Beibit Zhukayev,24,267,R,2,198,93
u134,Yasutaka Uchiyama,32,266,R,2,183,78
b0id,Ignacio Buse,21,266,R,2,183,78
j553,Omar Jasika,27,265,L,2,183,60
b0mm,Edas Butvilas,20,265,R,2,191,78
wb08,Yosuke Watanuki,27,264,R,2,180,73
gd64,Cristian Garin,28,264,R,2,185,85
cc66,Andrea Collarini,33,264,L,2,183,78
mn13,Maximilian Marterer,29,263,L,2,188,78
r0fp,Daniel Rincon,22,262,L,2,185,85
e768,Antoine Escoffier,33,260,R,2,185,78
hg94,Benjamin Hassan,30,258,R,2,183,85
bk24,Gregoire Barrere,31,257,R,2,183,80
s0k7,Zachary Svajda,22,257,R,2,175,70
dc48,Murkel Dellien,27,254,R,2,193,84
va25,Valentin Vacherot,26,251,R,2,193,83
sr81,Khumoyun Sultanov,26,251,R,2,180,80
s0ak,Henri Squire,24,249,R,2,196,82
bi81,Alex Bolt,32,249,L,2,183,71
d0h9,Guy Den Ouden,23,249,R,2,183,76
rh24,Emil Ruusuvuori,26,248,R,2,188,79
j09x,Filip Cristian Jianu,23,247,R,2,180,78
r09x,Jurij Rodionov,25,246,L,2,191,83
p0j1,Rodrigo Pacheco Mendez,19,244,L,2,191,78
ta46,Bernard Tomic,32,243,R,2,196,91
r772,Albert Ramos-Vinolas,37,242,L,2,188,76
p0ay,Luka Pavlovic,25,241,R,2,196,88
h09f,Yu Hsiou Hsu,26,239,R,2,178,75
v0dp,Adolfo Daniel Vallejo,20,239,R,2,183,75
ph64,Andrea Pellegrino,28,236,R,2,185,81
j0a4,Paul Jubb,25,235,R,2,180,72
v836,Juan Pablo Varillas,29,231,R,2,185,77
s0ek,Matias Soto,25,230,R,2,170,75
k0hc,Maks Kasnikowski,21,229,R,2,180,78
r0ed,Max Hans Rehberg,21,229,R,2,183,80
dc76,Viktor Durasovic,28,229,R,2,185,80
be69,Yan Bai,35,228,R,2,185,80
g09c,Marek Gengel,29,224,R,2,185,80
d0hd,Gabriel Debru,19,223,R,2,193,78
g0gw,Sascha Gueymard Wayenburg,21,223,R,2,191,81
b0gr,Gonzalo Bueno,21,222,R,2,173,73
h0cx,Max Houkes,24,220,L,2,188,78
sn54,Frederico Ferreira Silva,30,220,L,2,178,74
ci14,Jay Clarke,26,219,R,2,183,83
s0la,Dominic Stricker,22,218,L,2,183,80
ss25,Vitaliy Sachko,27,218,R,2,188,73
n09u,Rio Noguchi,26,218,R,2,168,63
m0on,Johannus Monday,23,217,L,2,198,86
s0mn,Marat Sharipov,22,217,R,2,188,77
ag08,Andres Andrade,26,217,R,2,180,73
y171,Denis Yevseyev,31,215,R,2,188,80
y218,Elias Ymer,29,214,R,2,185,78
s0cg,Carlos Sanchez Jover,24,214,L,2,173,65
rh59,Santiago Rodriguez Taverna,25,213,R,2,191,82
rb60,Oriol Roca Batalla,31,211,R,1,175,75
w857,Tung-Lin Wu,26,206,R,2,188,81
mw76,Matteo Martineau,26,206,R,1,183,78
e0ac,Mathys Erhard,23,206,R,2,188,83
a829,Radu Albot,35,204,R,2,175,69
s0nv,Abdullah Shelbayh,21,201,L,2,180,73
p0gq,Mili Poljicak,20,199,R,2,185,92
bu70,Remy Bertola,26,199,R,1,175,75
p09o,Zsombor Piros,25,198,R,2,180,68
s0o6,Ilia Simakin,21,197,R,2,193,85
z09f,Patrick Zahraj,25,197,R,0,191,88
t0dm,Juan Bautista Torres,23,197,R,2,178,73
kc33,Dimitar Kuzmanov,31,194,R,2,183,77
bv25,Javier Barranco Cosano,26,192,L,2,180,73
bu54,Geoffrey Blancaneaux,26,192,R,2,180,75
dg80,Enrico Dalla Valle,27,192,R,2,196,90
b0jj,Robin Bertrand,22,191,R,0,178,70
cg04,Pedro Cachin,30,189,R,2,185,77
cg33,Kimmer Coppejans,31,188,R,2,178,71
s0uv,Rei Sakamoto,18,187,R,2,193,80
a0ab,Adrian Andreev,23,187,R,2,175,73
df92,Corentin Denolly,27,187,L,2,188,79
w09g,J.J. Wolf,26,186,R,2,183,81
sm88,Karue Sell,31,186,R,2,183,81
o482,Gonzalo Oliveira,30,185,L,2,185,79
ta12,Stefano Travaglia,33,185,R,2,185,80
gg65,Michael Geerts,30,185,R,2,178,73
sx90,Fajing Sun,28,184,R,2,178,75
c0bh,Clement Chidekh,23,184,R,2,180,78
p0iy,Juan Carlos Prado Angelo,20,183,R,2,185,72
ea27,Blake Ellis,26,183,R,2,191,85
m0n1,Luka Mikrut,21,182,R,2,188,73
be90,Ricardas Berankis,34,178,R,2,175,78
c0ak,Oliver Crawford,25,178,R,2,180,82
m0if,Francesco Maestrelli,22,177,R,2,196,78
m0nb,Aidan Mayo,21,175,R,0,183,75
k966,Martin Klizan,35,174,L,2,191,85
c0aj,Jie Cui,27,174,R,2,183,72
ga79,Lorenzo Giustino,33,174,R,2,180,80
m0aw,Nicolas Mejia,25,172,R,2,183,79
o660,Genaro Alberto Olivieri,26,172,R,2,175,73
va08,Andrea Vavassori,29,171,R,1,193,82
sg56,Daniel Dutra da Silva,36,171,L,2,0,73
b0u4,Nicolai Budkov Kjaer,18,170,R,2,188,80
n731,Christoph Negritu,31,170,R,2,193,83
kb95,Jason Kubler,31,167,R,2,178,74
b0lw,Mika Brunold,20,167,R,2,191,73
a09u,Nicolas Alvarez Varona,23,167,R,2,188,83
ge28,Ivan Gakhov,28,167,L,2,191,83
ph78,Ryan Peniston,29,166,L,2,180,75
hc21,Seongchan Hong,27,165,R,2,175,65
d0ar,Mateus Alves,24,165,R,2,193,88
g0ix,Arthur Gea,20,162,R,2,180,72
m0e1,Daniel Michalski,25,161,R,2,180,77
so20,Jelle Sels,29,161,R,1,188,83
bv21,Charles Broom,26,161,R,2,178,82
mf35,Andrej Martin,35,160,R,2,183,83
li10,Christian Langmo,28,160,R,2,191,91
t09x,Clement Tabur,25,159,R,2,173,73
ki48,Ergi Kirkin,26,159,R,2,180,78
p0df,Matheus Pucinelli De Almeida,24,158,R,2,183,78
m0oh,Lautaro Midon,21,157,R,2,180,71
c0hb,Eliakim Coulibaly,22,157,L,2,183,80
p0d0,Jakub Paul,26,155,R,2,180,73
cd00,Maxime Chazal,31,155,R,1,175,72
s0wt,Joel Schwaerzler,19,154,L,2,188,86
s0gv,Robert Strombachs,25,154,R,0,191,78
m0n7,Daniel Merida,20,153,R,2,188,80
s0gz,Nikolas Sanchez Izquierdo,26,153,R,2,185,77
bu10,Jacopo Berrettini,26,152,R,2,191,88
d0l3,Matej Dodig,19,152,R,2,188,77
v717,Alexey Vatutin,32,152,R,2,178,69
z0a1,Giulio Zeppieri,23,151,L,2,183,82
p0hw,Dino Prizmic,19,151,R,2,188,80
gb93,Norbert Gombos,34,150,R,2,193,85
p0ht,Jack Pinnington Jones,22,150,R,2,180,82
lc54,Benjamin Lock,32,150,R,2,198,86
e698,Gastao Elias,34,150,R,2,180,76
j0b5,Garrett Johns,24,149,R,2,180,70
mp01,Michael Mmoh,27,148,R,2,188,90
b0lq,Petr Bar Biryukov,23,148,L,2,196,85
i426,Masamichi Imamura,26,148,R,2,178,73
m0ey,Alex Marti Pujolras,26,148,R,2,185,73
pl64,Oleg Prihodko,27,147,R,2,180,77
e0dd,Justin Engel,17,146,R,0,185,78
k0eu,Toby Kodat,22,145,R,1,178,73
n707,Naoki Nakagawa,28,144,R,2,180,75
m0re,Patrick Maloney,25,143,R,2,193,84
sl94,Pedro Sakamoto,31,143,R,2,178,80
o0be,Oleksandr Ovcharenko,23,142,R,2,185,82
b0c0,Gabi Adrian Boitan,25,142,R,2,185,82
gh92,Borna Gojo,27,141,R,2,196,90
gh33,Manuel Guinard,29,141,R,2,198,82
v708,Jiri Vesely,31,141,L,2,198,94
i0a7,Nicholas David Ionel,22,141,R,2,0,75
l0cf,George Loffhagen,24,140,R,2,188,83
cf01,Marco Cecchinato,32,139,R,1,185,78
o376,Renzo Olivo,33,139,R,2,178,75
h0bf,Philip Henning,24,138,R,2,180,80
c0b2,Cezar Cretu,23,138,R,2,188,85
r0bt,Franco Roncadelli,25,137,L,2,185,73
