id,name,age,points,hand,backhand,height,weight
ph78,Ryan Peniston,29,166,L,2,180,75
t09x,Clement Tabur,25,165,R,2,173,73
ki48,Ergi Kirkin,26,163,R,2,180,78
g0ix,Arthur Gea,20,162,R,2,180,72
bv21,Charles Broom,26,161,R,2,178,82
mf35,Andrej Martin,35,160,R,2,183,83
s0wt,Joel Schwaerzler,19,160,L,2,188,86
li10,Christian Langmo,28,160,R,2,191,91
m0n1,Luka Mikrut,20,159,R,2,188,73
p0df,Matheus Pucinelli De Almeida,24,158,R,2,183,78
e698,Gastao Elias,34,158,R,2,180,76
c0hb,Eliakim Coulibaly,22,157,L,2,183,80
cd00,Maxime Chazal,31,155,R,1,175,72
pl64,Oleg Prihodko,27,155,R,2,180,77
p0d0,Jakub Paul,26,155,R,2,180,73
m0n7,Daniel Merida,20,153,R,2,188,80
lc54,Benjamin Lock,32,153,R,2,198,86
d0ar,Mateus Alves,24,153,R,2,193,88
s0gz,Nikolas Sanchez Izquierdo,26,153,R,2,185,77
bu10,Jacopo Berrettini,26,152,R,2,191,88
d0l3,Matej Dodig,19,152,R,2,188,77
z0a1,Giulio Zeppieri,23,151,L,2,183,82
p0hw,Dino Prizmic,19,151,R,2,188,80
v717,Alexey Vatutin,32,151,R,2,178,69
gb93,Norbert Gombos,34,150,R,2,193,85
p0ht,Jack Pinnington Jones,22,150,R,2,180,82
db59,Dennis Novak,31,150,R,2,183,81
m0ac,Rudolf Molleker,24,150,R,2,188,82
j0b5,Garrett Johns,24,149,R,2,180,70
m0e1,Daniel Michalski,25,148,R,2,180,77
i426,Masamichi Imamura,26,148,R,2,178,73
s0gv,Robert Strombachs,25,148,R,0,191,78
m0ey,Alex Marti Pujolras,26,148,R,2,185,73
r0bt,Franco Roncadelli,25,147,L,2,185,73
o376,Renzo Olivo,33,147,R,2,178,75
e0dd,Justin Engel,17,146,R,0,185,78
b0lq,Petr Bar Biryukov,23,146,L,2,196,85
k0eu,Toby Kodat,22,145,R,1,178,73
gh33,Manuel Guinard,29,144,R,2,198,82
o0be,Oleksandr Ovcharenko,23,144,R,2,185,82
f840,Nerman Fatic,30,143,R,2,191,88
sl94,Pedro Sakamoto,31,143,R,2,178,80
mp01,Michael Mmoh,27,142,R,2,188,90
b0c0,Gabi Adrian Boitan,25,142,R,2,185,82
n707,Naoki Nakagawa,28,141,R,2,180,75
v708,Jiri Vesely,31,141,L,2,198,94
i0a7,Nicholas David Ionel,22,141,R,2,0,75
l0cf,George Loffhagen,23,140,R,2,188,83
c0bc,Maxime Cressy,27,139,R,2,201,86
c0b2,Cezar Cretu,23,139,R,2,188,85
cf01,Marco Cecchinato,32,139,R,1,185,78
h0a4,Nick Hardt,24,138,R,2,185,85
m0re,Patrick Maloney,25,138,R,2,193,84
p0dr,Andrea Picchione,26,137,R,2,183,80
s0ti,Philip Sekulic,21,136,R,2,191,82
p0ea,Saba Purtseladze,23,136,R,2,191,91
h0bf,Philip Henning,24,134,R,2,180,80
u120,Kaichi Uchida,30,134,R,2,180,None
j620,Maxime Janvier,28,133,R,2,196,85
z0cq,Yi Zhou,20,133,R,2,193,85
kb95,Jason Kubler,31,132,R,2,178,74
c0nb,Federico Cina,18,131,R,2,185,73
z0ak,Tyler Zink,24,131,R,2,185,73
rh62,Mats Rosenkranz,26,131,L,2,193,83
fc49,Giovanni Fonio,26,131,R,1,183,78
r0fs,Leandro Riedi,23,130,R,2,191,78
gc89,Egor Gerasimov,32,129,R,2,196,86
n0al,Govind Nanda,24,129,R,2,178,70
m0gy,Lilian Marmousez,23,129,R,1,180,82
va23,Kris Van Wyk,28,128,R,2,185,77
k0cj,Sandro Kopp,24,127,R,2,185,78
a0ik,Luciano Emanuel Ambrogi,21,127,R,2,188,77
i0b0,Andre Ilagan,24,127,L,0,173,64
j0aw,Guido Ivan Justo,27,127,R,2,178,78
z0ab,Alexey Zakharov,24,126,R,2,188,83
b0ou,Hynek Barton,21,125,R,2,183,72
v0b2,Michael Vrbensky,25,125,R,2,None,None
p0jg,Gabriele Pennaforti,24,123,R,2,191,85
cg94,Enzo Couacaud,30,122,R,2,183,78
v0di,Samuel Vincent Ruggeri,22,122,R,2,191,85
z419,Bernabe Zapata Miralles,28,122,R,2,183,79
s0kt,Stefanos Sakellaridis,20,121,R,2,198,93
o0ad,Neil Oberleitner,25,121,R,2,191,83
n0b4,Ryan Nijboer,25,121,R,2,180,77
d0a2,Matthew Dellavedova,24,121,R,1,191,81
p0hp,Lukas Pokorny,23,120,R,2,191,83
b0ek,Moerani Bouzige,25,120,R,2,180,80
sm37,Diego Schwartzman,32,119,R,2,170,64
bf23,Facundo Bagnis,35,119,L,2,183,82
s0tx,Henry Searle,19,119,L,2,193,85
bv24,Raul Brancaccio,27,119,R,2,183,75
v821,Gonzalo Villanueva,30,119,R,2,175,70
c0mh,Gerard Campana Lee,20,118,R,2,183,83
da86,Joris De Loore,31,117,R,2,191,86
s0hr,Kasidit Samrej,24,117,R,2,191,91
a09t,Dan Added,26,117,R,2,183,75
aa27,Franco Agamenone,31,117,R,2,191,80
n679,Stefano Napolitano,30,116,R,2,196,90
gh92,Borna Gojo,27,116,R,2,196,90
g0j9,Svyatoslav Gulin,22,116,R,2,178,80
a0es,Pedro Araujo,23,116,R,2,183,73
p0k4,Tiago Pereira,20,116,R,2,0,78
s0dl,Ryan Seggerman,25,115,R,0,193,95
g0ao,Alastair Gray,26,115,R,1,193,83
l0dm,Alejo Lorenzo Lingua Lavallen,24,115,L,2,175,75
t0fi,Marko Topo,21,115,R,2,185,83
kh56,Zdenek Kolar,28,115,R,2,183,79
p0bk,Stuart Parker,27,115,R,2,185,78
m0np,Andres Martin,23,114,R,2,183,79
kd87,Evgeny Karlovskiy,30,114,R,2,191,86
g0by,Daniil Glinka,24,113,L,1,188,83
ke69,Mariano Kestelboim,29,113,R,2,185,78
pj74,Lucas Poullain,29,113,R,2,175,68
b0fi,Pedro Boscardin Dias,22,112,R,2,180,75
a0g7,Valerio Aboian,22,112,L,2,183,73
b0j8,Micah Braswell,23,111,R,2,183,75
s0bt,Adria Soriano Barrera,25,111,R,2,191,82
r0a7,Joao Lucas Reis Da Silva,25,110,R,2,178,75
p0i6,Gabriele Piraino,21,110,L,0,188,78
d0d4,Stefan Dostanic,23,109,R,2,188,79
k0hg,Milos Karol,22,109,R,2,198,90
ke64,Stefan Kozlov,27,108,R,2,183,79
p0gn,Tom Paris,22,108,R,1,191,83
d0cn,Miguel Damas,25,108,R,2,208,84
pg94,Marc Polmans,27,107,R,2,188,78
f0dm,Arthur Fery,22,106,R,2,175,76
ml57,Gianluca Mager,30,106,R,2,188,77
a0ea,Max Alcala Gurri,22,106,R,2,178,68
mi01,Hiroki Moriya,34,105,R,2,168,65
p0g5,Stefan Popovic,21,104,R,2,178,73
wb19,Alexander Weis,27,103,R,2,188,83
n0cj,Petr Nesterov,22,103,R,2,0,78
mn20,Daniel Masur,30,102,R,2,183,78
n663,Maximilian Neuchrist,33,101,R,2,None,None
cg07,Hernan Casanova,31,101,R,2,178,76
a0i1,Bor Artnak,20,101,R,2,193,78
wb32,Yibing Wu,25,100,R,2,183,80
r975,Milos Raonic,34,100,R,2,196,98
pl39,Alfredo Perez,27,100,R,2,193,79
k0a3,Patrick Kypson,25,100,R,2,188,82
u176,Vadym Ursu,28,100,R,2,183,71
cf88,Roberto Cid Subervi,31,99,R,2,193,82
p0fy,Alessandro Pecci,24,98,R,2,198,95
mp13,Mukund Sasikumar,28,98,R,2,185,78
m0fa,Anton Matusevich,23,97,R,2,185,86
t0iz,Alvin Nicholas Tudorica,23,97,L,2,178,75
td47,Evgenii Tiurnev,28,96,R,2,191,85
m0cw,Aidan McHugh,24,96,R,1,180,70
b0bu,Florent Bax,25,96,R,2,185,78
g0ib,Tom Gentzsch,21,96,R,2,191,85
kc29,Nicolas Kicker,32,95,R,1,178,75
f0a3,Sergey Fomin,24,95,R,2,180,None
a09w,Juan Carlos Aguilar,26,94,R,2,168,64
dh55,Michiel De Krom,26,94,L,1,157,120
c0nn,Gianluca Cadenasso,20,93,R,2,175,70
s0w8,Aryan Shah,19,93,R,2,173,78
ea13,Moez Echargui,32,93,R,2,178,72
b0gi,Alexandr Binda,23,93,R,2,180,68
ki74,Nicola Kuhn,25,92,R,2,185,80
lc12,Laurent Lokoli,30,92,R,2,188,78
rg42,Alex Rybakov,28,92,L,1,185,77
r0dc,Ajeet Rai,26,92,R,2,188,72
m0nl,Inaki Montes-De La Torre,22,91,R,2,178,79
k0dp,Oleksii Krutykh,25,91,R,2,185,78
mm79,Blake Mott,28,90,R,2,180,77
dc38,Jake Delaney,27,90,R,2,185,81
ch27,Hyeon Chung,28,89,R,2,188,89
j737,Facundo Juarez,27,89,R,2,175,78
e873,Ernesto Escobedo,28,89,R,2,185,82
tf58,Yusuke Takahashi,27,89,R,2,170,68
i0ax,Kokoro Isomura,22,89,R,2,175,72
c0bb,Tommaso Compagnucci,25,88,R,2,173,65
bp74,Aleksandre Bakshi,27,88,L,2,180,73
w0bb,Max Wiskandt,23,88,R,0,191,82
m0bn,Marvin Moeller,26,87,R,2,178,69
k0de,Takuya Kumasaka,26,86,R,2,175,73
f0bv,Tomas Farjat,24,85,R,2,188,80
bp79,Peter Bertran,29,85,R,2,183,75
i09n,Federico Iannaccone,26,85,R,2,183,73
l0c1,Carlos Lopez Montagud,24,85,R,2,180,77
k0fy,Martin Krumich,22,84,R,0,188,82
h0dc,Giles Hussey,27,83,L,2,185,75
b0ll,Viacheslav Bielinskyi,21,83,R,1,None,151
cf60,Pawel Juszczak,31,83,R,2,178,70
b0jg,Leo Borg,21,83,R,2,183,77
r0il,Iliyan Radulov,19,82,R,2,187,None
a0fm,Egor Agafonov,22,82,R,2,188,76
a0f3,Fabrizio Andaloro,24,81,R,2,185,83
a0ja,Michael Agwi,21,80,R,2,193,85
