tourney_id,matchId,tourney_name,surface,winner_id,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
336,ms013,Hong Kong,Hard,f0f1,3,100,6,2,67,39,32,15,11,0,2,5,2,71,46,34,11,11,2,5
336,ms012,Hong Kong,Hard,mp20,3,210,9,2,122,86,61,16,18,5,10,4,5,139,83,57,26,18,5,9
336,ms011,Hong Kong,Hard,n771,3,144,4,1,70,52,37,13,12,2,3,7,0,75,52,38,7,13,4,9
336,ms028,Hong Kong,Hard,bt72,3,134,9,4,81,55,46,14,15,2,4,17,1,107,65,51,20,15,9,11
336,ms019,Hong Kong,Hard,mo44,3,89,3,1,63,45,35,10,10,3,3,5,2,55,38,30,8,10,4,6
336,ms026,Hong Kong,Hard,bu13,3,91,11,1,54,38,31,11,10,1,2,2,3,78,48,31,12,10,6,9
336,ms030,Hong Kong,Hard,d0f6,3,169,9,2,117,85,57,19,17,10,13,9,6,104,65,52,16,17,5,8
336,ms025,Hong Kong,Hard,mp20,3,125,9,2,93,73,48,10,14,6,9,8,3,81,40,34,15,13,5,8
336,ms029,Hong Kong,Hard,mu94,3,117,6,4,78,49,36,19,14,2,4,2,4,76,39,25,21,14,2,6
336,ms021,Hong Kong,Hard,n552,3,58,4,0,50,35,29,9,9,2,2,7,5,52,27,18,12,8,4,7
336,ms018,Hong Kong,Hard,s0re,3,89,4,1,59,33,29,20,11,0,0,17,1,76,52,41,9,11,6,7
336,ms023,Hong Kong,Hard,su87,3,90,5,1,61,38,34,17,11,0,0,6,0,56,39,33,10,10,1,2
336,ms024,Hong Kong,Hard,ki95,3,67,9,1,57,39,32,8,9,2,2,9,1,53,35,22,10,9,6,9
336,ms017,Hong Kong,Hard,m0ci,3,93,6,3,70,41,30,14,10,1,5,4,3,72,47,29,8,9,10,16
336,ms022,Hong Kong,Hard,n771,3,98,11,1,78,60,38,8,11,5,7,6,5,69,42,27,11,10,5,9
336,qs004,Hong Kong,Hard,hh06,3,104,9,2,67,49,39,9,11,0,1,4,2,80,51,33,17,11,6,8
336,qs005,Hong Kong,Hard,d0f6,3,112,11,0,79,62,47,12,15,0,1,7,3,75,55,37,12,14,4,7
336,qs007,Hong Kong,Hard,p0ct,3,117,4,2,80,46,33,19,14,2,5,4,1,99,64,43,10,14,7,12
336,qs006,Hong Kong,Hard,m0ht,3,85,8,2,57,36,29,12,9,5,5,2,0,54,43,28,4,8,2,5
336,qs008,Hong Kong,Hard,k09f,3,156,10,5,92,58,43,19,16,1,4,10,1,112,68,49,24,17,7,10
336,qs010,Hong Kong,Hard,d0f6,3,111,5,3,59,43,35,9,10,0,0,0,6,86,56,31,16,10,5,7
336,qs012,Hong Kong,Hard,m0ht,3,75,5,2,49,38,35,5,10,0,0,4,0,55,34,26,7,9,2,4
336,qs014,Hong Kong,Hard,p0ct,3,119,6,2,93,56,41,21,16,3,6,6,4,79,52,37,11,15,4,8
336,qs009,Hong Kong,Hard,hh06,3,101,4,0,65,45,34,10,11,0,1,11,3,79,47,34,12,11,4,7
336,qs013,Hong Kong,Hard,c0aj,3,100,4,4,65,44,30,11,9,5,6,9,3,62,30,20,15,9,10,14
336,qs015,Hong Kong,Hard,y171,3,105,5,3,77,45,36,16,13,7,9,2,3,82,52,35,17,13,2,5
336,qs011,Hong Kong,Hard,gf95,3,112,8,5,77,50,42,10,14,2,4,11,7,93,59,40,18,14,4,7
8998,ms001,Adelaide,Hard,ag37,3,109,10,4,72,41,34,20,13,4,5,7,4,81,50,35,11,12,7,10
8998,ms002,Adelaide,Hard,ag37,3,164,8,4,110,70,52,14,16,8,12,7,3,94,52,36,25,15,5,8
8998,ms003,Adelaide,Hard,k0ah,3,79,13,3,68,44,37,14,11,0,0,2,2,61,46,34,9,10,0,1
8998,ms004,Adelaide,Hard,pl56,3,78,8,0,65,42,32,13,10,4,4,4,2,52,36,23,9,9,5,7
8998,ms005,Adelaide,Hard,ag37,3,100,11,3,76,54,43,10,10,9,9,2,1,72,37,24,20,11,6,8
8998,ms006,Adelaide,Hard,ki95,3,64,12,0,48,33,29,8,9,1,1,2,1,54,31,19,12,8,2,5
8998,ms008,Adelaide,Hard,pl56,3,111,9,4,93,60,43,18,14,10,11,8,3,84,58,43,14,14,0,2
8998,ms015,Adelaide,Hard,k0ah,3,91,8,2,69,43,37,9,9,5,5,2,3,63,40,25,10,9,4,7
8998,ms010,Adelaide,Hard,ag37,3,153,12,5,83,54,39,14,14,4,6,8,3,100,54,38,24,15,7,9
8998,ms009,Adelaide,Hard,h0bh,3,121,6,5,86,49,38,24,14,3,4,17,2,84,62,48,12,15,3,5
8998,ms014,Adelaide,Hard,kd46,3,182,23,4,115,82,61,18,17,5,6,13,0,103,72,60,16,17,4,5
8998,ms013,Adelaide,Hard,bm95,3,85,3,3,63,33,23,15,9,8,10,4,1,58,32,15,11,9,3,8
8998,ms011,Adelaide,Hard,gc88,3,78,2,0,50,26,19,16,10,1,3,9,13,63,31,24,7,10,8,13
8998,ms012,Adelaide,Hard,ki95,3,91,3,1,64,34,31,14,10,2,3,13,4,68,37,28,10,10,6,9
8998,ms024,Adelaide,Hard,ki95,3,62,2,4,49,36,28,7,9,0,1,8,12,64,33,24,10,9,8,12
8998,ms019,Adelaide,Hard,n0ae,3,100,14,3,69,39,31,14,12,2,4,2,5,74,48,33,9,12,3,7
8998,ms028,Adelaide,Hard,ea24,3,111,4,1,71,42,33,19,11,3,3,14,1,65,36,31,13,10,1,2
8998,ms021,Adelaide,Hard,c0h0,3,102,9,8,73,38,28,19,10,9,10,4,1,58,37,20,9,9,5,9
8998,ms022,Adelaide,Hard,gc88,3,103,4,0,72,41,29,22,13,2,4,8,3,89,58,40,12,13,4,8
8998,ms017,Adelaide,Hard,gh33,3,127,7,11,98,48,33,26,14,7,11,13,5,83,53,37,13,13,5,9
8998,ms018,Adelaide,Hard,h0bh,3,72,4,3,57,29,21,16,8,4,5,3,0,44,20,11,9,7,4,9
8998,ms026,Adelaide,Hard,tc01,3,73,6,2,59,35,29,13,9,5,5,1,3,53,35,24,8,10,2,6
